200901,Ketu transit 1st House from natal moon,"When Ketu transits the 1st house from the natal Moon, the individual may experience mental worries, health issues like smallpox, and conflicts with siblings. There may be fire accidents for females and a stronger devotion towards God."
200902,Ketu transit 2nd House from natal moon,"During Ketu's transit through the 2nd house from the natal Moon, the individual may face financial difficulties, tasteless food, and potential health issues like cancer of the tongue. There may also be mental stress and lack of essential resources at home."
200903,Ketu transit 3rd House from natal moon,"When Ketu transits the 3rd house from the natal Moon, it generally brings positive outcomes such as overcoming enemies, increased income, and courage. However, there is a risk of venereal and skin diseases, despite gaining fame and living an aristocratic life."
200904,Ketu transit 4th House from natal moon,"Ketu's transit through the 4th house from the natal Moon can lead to financial losses in speculation, health issues, and potential accidents. The individual may lose property and suffer from fear and mental unrest."
200905,Ketu transit 5th House from natal moon,"When Ketu transits the 5th house from the natal Moon, the individual may face challenges such as health issues for the wife, loss of a child, and difficulties in life. However, the individual may also exhibit sharp intellect and improved functional skills."
200906,Ketu transit 6th House from natal moon,"Ketu's transit through the 6th house from the natal Moon brings mixed results, including financial gains and victory over enemies. However, there may be misunderstandings, stomach pain, and a stronger inclination towards spiritual pursuits."
200907,Ketu transit 7th House from natal moon,"When Ketu transits the 7th house from the natal Moon, the individual may experience difficulties in relationships, potential health issues, and troubles through wicked women. There may be forced relocations and general dissatisfaction."
200908,Ketu transit 8th House from natal moon,"Ketu's transit through the 8th house from the natal Moon brings unresolvable problems, fear, and potential health issues. Despite these challenges, the individual may experience happiness and support from their spouse."
200909,Ketu transit 9th House from natal moon,"When Ketu transits the 9th house from the natal Moon, the individual may face financial losses, legal issues, and spiritual introspection. There may be humiliation, conflicts, and challenges for both the individual and their father."
200910,Ketu transit 10th House from natal moon,"Ketu's transit through the 10th house from the natal Moon brings mixed results, including potential financial gains and religious activities. However, there is also a risk of losses in speculation, fire accidents, and health issues."
200911,Ketu transit 11th House from natal moon,"When Ketu transits the 11th house from the natal Moon, it generally brings beneficial outcomes such as financial success, improved status, and abundance at home. However, there may be conflicts with relatives and health issues for siblings."
200912,Ketu transit 12th House from natal moon,"Ketu's transit through the 12th house from the natal Moon brings financial success, improvements in status, and general well-being. However, there may also be increased expenditures, health issues, and challenges in sexual relationships."